structure,dataset,nproc,runtime_sec
connected,part-1-outputs,1,0.14
connected,part-1-outputs,2,0.21
connected,part-1-outputs,3,0.17
connected,part-1-outputs,4,0.23
connected,part-1-outputs,5,0.25
connected,part-1-outputs,6,0.34
connected,part-1-outputs,7,0.35
connected,part-1-outputs,8,0.37
forest,part-1-outputs,1,0.10
forest,part-1-outputs,2,0.22
forest,part-1-outputs,3,0.27
forest,part-1-outputs,4,0.16
forest,part-1-outputs,5,0.21
forest,part-1-outputs,6,0.23
forest,part-1-outputs,7,0.35
forest,part-1-outputs,8,0.23
full,part-1-outputs,1,0.10
full,part-1-outputs,2,0.09
full,part-1-outputs,3,0.11
full,part-1-outputs,4,0.16
full,part-1-outputs,5,0.14
full,part-1-outputs,6,0.25
full,part-1-outputs,7,0.19
full,part-1-outputs,8,0.24
random,part-1-outputs,1,0.10
random,part-1-outputs,2,0.12
random,part-1-outputs,3,0.14
random,part-1-outputs,4,0.15
random,part-1-outputs,5,0.16
random,part-1-outputs,6,0.15
random,part-1-outputs,7,0.15
random,part-1-outputs,8,0.14
